ERUID,ERNAME,NAICS,Concentration
1340,Fredericton-Oromocto,485,0.2%
1310,Campbellton-Miramichi,526,0.2%
3540,Kitchener-Waterloo-Barrie,212,0.2%
4720,Swift Current-Moose Jaw,211,0.2%
2490,Nord-du-Québec,111,0.2%
4660,Interlake,114,0.2%
3530,Toronto,312,0.2%
1230,Annapolis Valley,333,0.2%
3510,Ottawa,326,0.2%
4640,North Central / Centre nord,336,0.2%
2445,Laval,334,0.2%
2440,Montréal,313,0.2%
2460,Outaouais,112,0.2%
4650,Winnipeg,334,0.2%
2415,Bas-Saint-Laurent,326,0.2%
4850,Red Deer,336,0.2%
3560,London,335,0.2%
4660,Interlake,321,0.2%
2455,Laurentides,313,0.1%
4730,Saskatoon-Biggar,339,0.1%
4740,Yorkton-Melville,113,0.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,523,0.1%
1310,Campbellton-Miramichi,337,0.1%
1040,Notre Dame-Central Bonavista Bay,213,0.1%
5950,Cariboo,312,0.1%
2490,Nord-du-Québec,332,0.1%
5930,Thompson-Okanagan,335,0.1%
4880,Wood Buffalo-Cold Lake,113,0.1%
1240,Southern / Sud,314,0.1%
2435,Montérégie,314,0.1%
5960,North Coast / Côte-nord,327,0.1%
4840,Banff-Jasper-Rocky Mountain House,115,0.1%
4840,Banff-Jasper-Rocky Mountain House,492,0.1%
2470,Mauricie,316,0.1%
3595,Northwest / Nord-ouest,526,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,337,0.1%
3560,London,312,0.1%
4660,Interlake,213,0.1%
5980,Northeast / Nord-est,333,0.1%
3515,Kingston-Pembroke,334,0.1%
3595,Northwest / Nord-ouest,339,0.1%
1220,North Shore / Côte-nord,334,0.1%
4860,Edmonton,334,0.1%
2450,Lanaudière,322,0.1%
3550,Hamilton-Niagara Peninsula,115,0.1%
4750,Prince Albert,339,0.1%
4850,Red Deer,212,0.1%
1010,Avalon Peninsula,327,0.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,493,0.1%
3530,Toronto,213,0.1%
4830,Calgary,335,0.1%
3590,Northeast / Nord-est,313,0.1%
6110,Northwest Territories / Territoires du Nord-Ouest,325,0.1%
2480,Côte-Nord,481,0.1%
3510,Ottawa,526,0.1%
5940,Kootenay,325,0.1%
3530,Toronto,212,0.1%
4810,Lethbridge-Medicine Hat,492,0.1%
4660,Interlake,212,0.1%
3530,Toronto,526,0.1%
4810,Lethbridge-Medicine Hat,312,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,331,0.1%
4720,Swift Current-Moose Jaw,492,0.1%
4720,Swift Current-Moose Jaw,493,0.1%
2430,Estrie,221,0.1%
2420,Capitale-Nationale,481,0.1%
4610,Southeast / Sud-est,213,0.1%
3540,Kitchener-Waterloo-Barrie,526,0.1%
4860,Edmonton,337,0.1%
1210,Cape Breton,337,0.1%
3510,Ottawa,221,0.1%
6010,Yukon,492,0.1%
1250,Halifax,526,0.1%
2450,Lanaudière,113,0.1%
4660,Interlake,312,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,315,0.1%
4820,Camrose-Drumheller,493,0.1%
1340,Fredericton-Oromocto,323,0.1%
4720,Swift Current-Moose Jaw,312,0.1%
1330,Saint John-St. Stephen,333,0.1%
2430,Estrie,316,0.1%
2430,Estrie,312,0.1%
1210,Cape Breton,312,0.1%
2425,Chaudière-Appalaches,212,0.1%
6110,Northwest Territories / Territoires du Nord-Ouest,492,0.1%
5940,Kootenay,492,0.1%
4670,Parklands,488,0.1%
4670,Parklands,213,0.1%
2415,Bas-Saint-Laurent,114,0.1%
3580,Stratford-Bruce Peninsula,316,0.1%
3590,Northeast / Nord-est,339,0.1%
5980,Northeast / Nord-est,339,0.1%
2465,Abitibi-Témiscamingue,325,0.1%
3520,Muskoka-Kawarthas,337,0.1%
2435,Montérégie,313,0.1%
1340,Fredericton-Oromocto,311,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,337,0.1%
4610,Southeast / Sud-est,113,0.1%
2440,Montréal,324,0.1%
1210,Cape Breton,482,0.1%
2455,Laurentides,212,0.1%
4820,Camrose-Drumheller,321,0.1%
2430,Estrie,492,0.1%
4640,North Central / Centre nord,493,0.1%
6010,Yukon,312,0.1%
1220,North Shore / Côte-nord,485,0.1%
4680,North / Nord,523,0.1%
3510,Ottawa,521,0.1%
1340,Fredericton-Oromocto,212,0.1%
1340,Fredericton-Oromocto,312,0.1%
3510,Ottawa,337,0.1%
3570,Windsor-Sarnia,481,0.1%
2490,Nord-du-Québec,523,0.1%
4860,Edmonton,112,0.1%
3510,Ottawa,115,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,113,0.1%
2475,Saguenay-Lac-Saint-Jean,221,0.1%
3570,Windsor-Sarnia,213,0.1%
2480,Côte-Nord,524,0.1%
1230,Annapolis Valley,492,0.1%
5970,Nechako,492,0.1%
5970,Nechako,332,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,482,0.1%
4640,North Central / Centre nord,485,0.1%
1220,North Shore / Côte-nord,483,0.1%
2440,Montréal,526,0.1%
2475,Saguenay-Lac-Saint-Jean,323,0.1%
3515,Kingston-Pembroke,323,0.1%
1330,Saint John-St. Stephen,492,0.1%
5930,Thompson-Okanagan,322,0.1%
2430,Estrie,335,0.1%
1250,Halifax,212,0.1%
3560,London,481,0.1%
4710,Regina-Moose Mountain,336,0.1%
4850,Red Deer,493,0.1%
1220,North Shore / Côte-nord,316,0.1%
1220,North Shore / Côte-nord,335,0.1%
4710,Regina-Moose Mountain,323,0.1%
4650,Winnipeg,312,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,334,0.1%
4880,Wood Buffalo-Cold Lake,486,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,323,0.1%
2435,Montérégie,221,0.1%
4740,Yorkton-Melville,488,0.1%
4820,Camrose-Drumheller,326,0.1%
3570,Windsor-Sarnia,334,0.1%
4750,Prince Albert,323,0.1%
3570,Windsor-Sarnia,313,0.1%
4860,Edmonton,481,0.1%
4730,Saskatoon-Biggar,326,0.1%
2445,Laval,322,0.1%
1310,Campbellton-Miramichi,492,0.1%
4830,Calgary,115,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,114,0.1%
4730,Saskatoon-Biggar,211,0.1%
2435,Montérégie,481,0.1%
2420,Capitale-Nationale,212,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,483,0.1%
4860,Edmonton,486,0.1%
4880,Wood Buffalo-Cold Lake,325,0.1%
4650,Winnipeg,111,0.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,237,0.1%
2475,Saguenay-Lac-Saint-Jean,312,0.1%
4860,Edmonton,336,0.1%
4740,Yorkton-Melville,485,0.1%
1210,Cape Breton,492,0.1%
4850,Red Deer,481,0.1%
4670,Parklands,339,0.1%
4670,Parklands,332,0.1%
4710,Regina-Moose Mountain,339,0.1%
4750,Prince Albert,212,0.1%
4750,Prince Albert,326,0.1%
4880,Wood Buffalo-Cold Lake,315,0.1%
4880,Wood Buffalo-Cold Lake,339,0.1%
5960,North Coast / Côte-nord,312,0.1%
1010,Avalon Peninsula,339,0.1%
1010,Avalon Peninsula,323,0.1%
2475,Saguenay-Lac-Saint-Jean,487,0.1%
4840,Banff-Jasper-Rocky Mountain House,333,0.1%
3590,Northeast / Nord-est,493,0.1%
1240,Southern / Sud,493,0.1%
2430,Estrie,493,0.1%
2475,Saguenay-Lac-Saint-Jean,336,0.1%
4810,Lethbridge-Medicine Hat,331,0.1%
4610,Southeast / Sud-est,481,0.1%
4610,Southeast / Sud-est,326,0.1%
4610,Southeast / Sud-est,336,0.1%
1040,Notre Dame-Central Bonavista Bay,312,0.1%
3515,Kingston-Pembroke,487,0.1%
1250,Halifax,337,0.1%
3520,Muskoka-Kawarthas,493,0.1%
4810,Lethbridge-Medicine Hat,212,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,483,0.1%
5970,Nechako,323,0.1%
1320,Moncton-Richibucto,115,0.1%
4680,North / Nord,332,0.1%
1310,Campbellton-Miramichi,323,0.1%
4640,North Central / Centre nord,337,0.1%
1240,Southern / Sud,339,0.1%
1240,Southern / Sud,492,0.1%
4860,Edmonton,211,0.1%
4850,Red Deer,334,0.1%
2420,Capitale-Nationale,487,0.1%
1210,Cape Breton,115,0.1%
1210,Cape Breton,321,0.1%
4810,Lethbridge-Medicine Hat,323,0.1%
2445,Laval,315,0.1%
2433,Centre-du-Québec,312,0.1%
1340,Fredericton-Oromocto,492,0.1%
4730,Saskatoon-Biggar,312,0.1%
2420,Capitale-Nationale,113,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,492,0.1%
2455,Laurentides,315,0.1%
2433,Centre-du-Québec,314,0.1%
4860,Edmonton,482,0.1%
2475,Saguenay-Lac-Saint-Jean,314,0.1%
6010,Yukon,115,0.1%
6010,Yukon,323,0.1%
5940,Kootenay,483,0.1%
2490,Nord-du-Québec,524,0.1%
3550,Hamilton-Niagara Peninsula,324,0.1%
6110,Northwest Territories / Territoires du Nord-Ouest,114,0.1%
4670,Parklands,212,0.1%
4670,Parklands,337,0.1%
1350,Edmundston-Woodstock,212,0.1%
1350,Edmundston-Woodstock,221,0.1%
1350,Edmundston-Woodstock,314,0.1%
1220,North Shore / Côte-nord,213,0.1%
3580,Stratford-Bruce Peninsula,325,0.1%
2415,Bas-Saint-Laurent,493,0.1%
2445,Laval,327,0.1%
3515,Kingston-Pembroke,324,0.1%
4630,Southwest / Sud-ouest,492,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,482,0.1%
1010,Avalon Peninsula,331,0.1%
1210,Cape Breton,323,0.1%
2480,Côte-Nord,523,0.1%
5950,Cariboo,337,0.1%
2433,Centre-du-Québec,492,0.1%
4720,Swift Current-Moose Jaw,337,0.1%
4830,Calgary,111,0.1%
2440,Montréal,314,0.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,325,0.1%
2440,Montréal,115,0.1%
6010,Yukon,332,0.1%
3590,Northeast / Nord-est,325,0.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,492,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,493,0.1%
3515,Kingston-Pembroke,315,0.1%
1210,Cape Breton,314,0.1%
1330,Saint John-St. Stephen,482,0.1%
2455,Laurentides,324,0.1%
4730,Saskatoon-Biggar,492,0.1%
4730,Saskatoon-Biggar,323,0.1%
4850,Red Deer,492,0.1%
4760,Northern / Nord,491,0.1%
4760,Northern / Nord,333,0.1%
2430,Estrie,324,0.1%
6210,Nunavut,485,0.1%
2415,Bas-Saint-Laurent,221,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,492,0.1%
5960,North Coast / Côte-nord,111,0.1%
5970,Nechako,221,0.1%
3590,Northeast / Nord-est,337,0.1%
1240,Southern / Sud,483,0.1%
4650,Winnipeg,526,0.1%
4740,Yorkton-Melville,321,0.1%
4740,Yorkton-Melville,336,0.1%
1210,Cape Breton,339,0.1%
2460,Outaouais,325,0.1%
4710,Regina-Moose Mountain,337,0.1%
1040,Notre Dame-Central Bonavista Bay,332,0.1%
1350,Edmundston-Woodstock,493,0.1%
3550,Hamilton-Niagara Peninsula,315,0.1%
4630,Southwest / Sud-ouest,493,0.1%
3520,Muskoka-Kawarthas,115,0.1%
2440,Montréal,321,0.1%
1340,Fredericton-Oromocto,336,0.1%
6010,Yukon,491,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,493,0.1%
4850,Red Deer,324,0.1%
4710,Regina-Moose Mountain,312,0.1%
4620,South Central / Centre sud,485,0.1%
2475,Saguenay-Lac-Saint-Jean,335,0.1%
3530,Toronto,482,0.1%
4610,Southeast / Sud-est,485,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,221,0.1%
1310,Campbellton-Miramichi,336,0.1%
4740,Yorkton-Melville,493,0.1%
4660,Interlake,334,0.1%
4660,Interlake,322,0.1%
1330,Saint John-St. Stephen,334,0.1%
4820,Camrose-Drumheller,323,0.1%
3595,Northwest / Nord-ouest,112,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,323,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,332,0.1%
2460,Outaouais,212,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,212,0.1%
4720,Swift Current-Moose Jaw,323,0.1%
1340,Fredericton-Oromocto,324,0.1%
3515,Kingston-Pembroke,314,0.1%
1320,Moncton-Richibucto,314,0.1%
1250,Halifax,327,0.1%
4680,North / Nord,111,0.1%
1010,Avalon Peninsula,334,0.1%
6210,Nunavut,325,0.1%
1320,Moncton-Richibucto,325,0.1%
1230,Annapolis Valley,323,0.1%
2460,Outaouais,492,0.1%
4830,Calgary,336,0.1%
3540,Kitchener-Waterloo-Barrie,315,0.1%
4830,Calgary,112,0.1%
3595,Northwest / Nord-ouest,333,0.1%
1040,Notre Dame-Central Bonavista Bay,326,0.1%
1250,Halifax,315,0.1%
4630,Southwest / Sud-ouest,336,0.1%
4720,Swift Current-Moose Jaw,321,0.1%
2455,Laurentides,492,0.1%
5950,Cariboo,339,0.1%
4730,Saskatoon-Biggar,324,0.1%
2475,Saguenay-Lac-Saint-Jean,325,0.1%
4680,North / Nord,115,0.1%
3550,Hamilton-Niagara Peninsula,314,0.1%
2440,Montréal,483,0.1%
1240,Southern / Sud,487,0.1%
4630,Southwest / Sud-ouest,323,0.1%
2445,Laval,313,0.1%
1340,Fredericton-Oromocto,493,0.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,332,0.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,323,0.1%
1040,Notre Dame-Central Bonavista Bay,483,0.1%
1040,Notre Dame-Central Bonavista Bay,335,0.1%
2460,Outaouais,336,0.1%
3550,Hamilton-Niagara Peninsula,487,0.1%
3550,Hamilton-Niagara Peninsula,481,0.1%
4620,South Central / Centre sud,212,0.1%
4620,South Central / Centre sud,488,0.1%
4710,Regina-Moose Mountain,492,0.1%
2420,Capitale-Nationale,315,0.1%
1320,Moncton-Richibucto,482,0.1%
3590,Northeast / Nord-est,323,0.1%
5980,Northeast / Nord-est,327,0.1%
1310,Campbellton-Miramichi,213,0.1%
2415,Bas-Saint-Laurent,312,0.1%
4870,Athabasca-Grande Prairie-Peace River,331,0.1%
4760,Northern / Nord,327,0.1%
4760,Northern / Nord,492,0.1%
4760,Northern / Nord,312,0.1%
4760,Northern / Nord,237,0.1%
5940,Kootenay,333,0.1%
4820,Camrose-Drumheller,312,0.1%
4820,Camrose-Drumheller,492,0.1%
2475,Saguenay-Lac-Saint-Jean,493,0.1%
1250,Halifax,322,0.1%
1010,Avalon Peninsula,115,0.1%
4860,Edmonton,335,0.1%
4810,Lethbridge-Medicine Hat,481,0.1%
5940,Kootenay,481,0.1%
3595,Northwest / Nord-ouest,493,0.1%
2455,Laurentides,493,0.1%
5930,Thompson-Okanagan,334,0.1%
2420,Capitale-Nationale,316,0.1%
4830,Calgary,526,0.1%
2470,Mauricie,212,0.1%
2455,Laurentides,213,0.1%
1220,North Shore / Côte-nord,339,0.1%
3520,Muskoka-Kawarthas,113,0.1%
4740,Yorkton-Melville,326,0.1%
4620,South Central / Centre sud,221,0.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,332,0.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,325,0.1%
1350,Edmundston-Woodstock,485,0.1%
4650,Winnipeg,316,0.1%
1210,Cape Breton,327,0.1%
2465,Abitibi-Témiscamingue,339,0.1%
2465,Abitibi-Témiscamingue,323,0.1%
2480,Côte-Nord,312,0.1%
3570,Windsor-Sarnia,114,0.1%
3540,Kitchener-Waterloo-Barrie,316,0.1%
1320,Moncton-Richibucto,213,0.1%
6010,Yukon,337,0.1%
4860,Edmonton,115,0.1%
2425,Chaudière-Appalaches,492,0.1%
4720,Swift Current-Moose Jaw,339,0.1%
2450,Lanaudière,331,0.1%
4730,Saskatoon-Biggar,335,0.1%
2415,Bas-Saint-Laurent,316,0.1%
4840,Banff-Jasper-Rocky Mountain House,481,0.1%
1320,Moncton-Richibucto,323,0.1%
1330,Saint John-St. Stephen,314,0.1%
1250,Halifax,487,0.1%
4710,Regina-Moose Mountain,326,0.1%
3520,Muskoka-Kawarthas,324,0.1%
2445,Laval,314,0.1%
4640,North Central / Centre nord,326,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,113,0.1%
1210,Cape Breton,493,0.1%
6110,Northwest Territories / Territoires du Nord-Ouest,327,0.1%
2480,Côte-Nord,339,0.1%
2420,Capitale-Nationale,324,0.1%
2460,Outaouais,326,0.1%
3595,Northwest / Nord-ouest,323,0.1%
1350,Edmundston-Woodstock,323,0.1%
4610,Southeast / Sud-est,221,0.1%
4870,Athabasca-Grande Prairie-Peace River,337,0.1%
2445,Laval,212,0.1%
1240,Southern / Sud,221,0.1%
2490,Nord-du-Québec,526,0.1%
2490,Nord-du-Québec,327,0.1%
2490,Nord-du-Québec,337,0.1%
2490,Nord-du-Québec,325,0.1%
3550,Hamilton-Niagara Peninsula,313,0.1%
1040,Notre Dame-Central Bonavista Bay,337,0.1%
3595,Northwest / Nord-ouest,486,0.1%
1250,Halifax,335,0.1%
2450,Lanaudière,315,0.1%
3570,Windsor-Sarnia,322,0.1%
3540,Kitchener-Waterloo-Barrie,481,0.1%
4840,Banff-Jasper-Rocky Mountain House,339,0.1%
4820,Camrose-Drumheller,334,0.1%
5960,North Coast / Côte-nord,323,0.1%
1330,Saint John-St. Stephen,325,0.1%
1310,Campbellton-Miramichi,485,0.1%
1250,Halifax,112,0.1%
1240,Southern / Sud,485,0.1%
1240,Southern / Sud,334,0.1%
1240,Southern / Sud,213,0.1%
2440,Montréal,316,0.1%
5930,Thompson-Okanagan,325,0.1%
1340,Fredericton-Oromocto,313,0.1%
3510,Ottawa,312,0.1%
4670,Parklands,523,0.1%
3530,Toronto,314,0.1%
4650,Winnipeg,115,0.1%
4860,Edmonton,312,0.1%
1040,Notre Dame-Central Bonavista Bay,487,0.1%
3510,Ottawa,212,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,523,0.1%
5950,Cariboo,326,0.1%
3595,Northwest / Nord-ouest,326,0.1%
1210,Cape Breton,324,0.1%
2475,Saguenay-Lac-Saint-Jean,482,0.1%
5930,Thompson-Okanagan,331,0.1%
2450,Lanaudière,324,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,526,0.1%
4870,Athabasca-Grande Prairie-Peace River,482,0.1%
2455,Laurentides,221,0.1%
1240,Southern / Sud,313,0.1%
3590,Northeast / Nord-est,486,0.1%
2450,Lanaudière,221,0.1%
2470,Mauricie,314,0.1%
4820,Camrose-Drumheller,337,0.1%
2455,Laurentides,314,0.1%
1250,Halifax,111,0.1%
4740,Yorkton-Melville,339,0.1%
6010,Yukon,334,0.1%
6010,Yukon,327,0.1%
5950,Cariboo,221,0.1%
1040,Notre Dame-Central Bonavista Bay,339,0.1%
2460,Outaouais,333,0.1%
2410,Gaspésie-Îles-de-la-Madeleine,315,0.1%
2450,Lanaudière,334,0.1%
2415,Bas-Saint-Laurent,324,0.1%
2465,Abitibi-Témiscamingue,221,0.1%
4750,Prince Albert,337,0.1%
4830,Calgary,322,0.1%
1330,Saint John-St. Stephen,487,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,487,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,335,0.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,336,0.1%
3580,Stratford-Bruce Peninsula,482,0.1%
5940,Kootenay,323,0.1%
2425,Chaudière-Appalaches,221,0.1%
1230,Annapolis Valley,212,0.1%
2420,Capitale-Nationale,213,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,312,0.1%
5950,Cariboo,336,0.1%
1340,Fredericton-Oromocto,334,0.1%
1220,North Shore / Côte-nord,481,0.1%
1310,Campbellton-Miramichi,493,0.1%
1320,Moncton-Richibucto,221,0.1%
2425,Chaudière-Appalaches,312,0.1%
3530,Toronto,115,0.1%
5930,Thompson-Okanagan,324,0.1%
2480,Côte-Nord,314,0.1%
4870,Athabasca-Grande Prairie-Peace River,323,0.1%
4620,South Central / Centre sud,325,0.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,493,0.1%
4650,Winnipeg,314,0.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,339,0.1%
3580,Stratford-Bruce Peninsula,113,0.1%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,314,0.1%
4630,Southwest / Sud-ouest,113,0.1%
4810,Lethbridge-Medicine Hat,335,0.1%
2465,Abitibi-Témiscamingue,324,0.1%
4660,Interlake,325,0.1%
4820,Camrose-Drumheller,482,0.1%
5930,Thompson-Okanagan,487,0.1%
4750,Prince Albert,482,0.1%
4750,Prince Albert,221,0.1%
3510,Ottawa,487,0.1%
4740,Yorkton-Melville,323,0.1%
2480,Côte-Nord,112,0.1%
2415,Bas-Saint-Laurent,314,0.1%
6110,Northwest Territories / Territoires du Nord-Ouest,112,0.1%
1010,Avalon Peninsula,326,0.1%
1350,Edmundston-Woodstock,114,0.1%
1350,Edmundston-Woodstock,312,0.1%
4680,North / Nord,487,0.1%
4680,North / Nord,325,0.1%
3570,Windsor-Sarnia,335,0.1%
4850,Red Deer,326,0.1%
4620,South Central / Centre sud,324,0.1%
1220,North Shore / Côte-nord,337,0.1%
4610,Southeast / Sud-est,314,0.1%
4610,Southeast / Sud-est,323,0.1%
1010,Avalon Peninsula,491,0.1%
2433,Centre-du-Québec,334,0.1%
6010,Yukon,339,0.1%
6010,Yukon,111,0.1%
3510,Ottawa,322,0.0%
2425,Chaudière-Appalaches,481,0.0%
1040,Notre Dame-Central Bonavista Bay,323,0.0%
2410,Gaspésie-Îles-de-la-Madeleine,221,0.0%
2460,Outaouais,324,0.0%
2480,Côte-Nord,323,0.0%
1220,North Shore / Côte-nord,211,0.0%
1220,North Shore / Côte-nord,482,0.0%
4760,Northern / Nord,113,0.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,339,0.0%
1240,Southern / Sud,323,0.0%
4710,Regina-Moose Mountain,322,0.0%
4740,Yorkton-Melville,492,0.0%
6110,Northwest Territories / Territoires du Nord-Ouest,334,0.0%
6110,Northwest Territories / Territoires du Nord-Ouest,314,0.0%
6110,Northwest Territories / Territoires du Nord-Ouest,339,0.0%
4880,Wood Buffalo-Cold Lake,523,0.0%
4670,Parklands,493,0.0%
2460,Outaouais,483,0.0%
2460,Outaouais,493,0.0%
2440,Montréal,212,0.0%
2475,Saguenay-Lac-Saint-Jean,324,0.0%
2420,Capitale-Nationale,314,0.0%
4680,North / Nord,112,0.0%
3530,Toronto,324,0.0%
4840,Banff-Jasper-Rocky Mountain House,323,0.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,315,0.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,337,0.0%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,324,0.0%
4880,Wood Buffalo-Cold Lake,335,0.0%
3510,Ottawa,314,0.0%
2410,Gaspésie-Îles-de-la-Madeleine,325,0.0%
3590,Northeast / Nord-est,491,0.0%
4750,Prince Albert,493,0.0%
4750,Prince Albert,325,0.0%
2440,Montréal,487,0.0%
2435,Montérégie,324,0.0%
4630,Southwest / Sud-ouest,481,0.0%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,333,0.0%
6210,Nunavut,493,0.0%
4820,Camrose-Drumheller,487,0.0%
4640,North Central / Centre nord,113,0.0%
4850,Red Deer,113,0.0%
4850,Red Deer,526,0.0%
4720,Swift Current-Moose Jaw,315,0.0%
1350,Edmundston-Woodstock,492,0.0%
3560,London,213,0.0%
5940,Kootenay,326,0.0%
3595,Northwest / Nord-ouest,324,0.0%
4870,Athabasca-Grande Prairie-Peace River,326,0.0%
2480,Côte-Nord,324,0.0%
4860,Edmonton,526,0.0%
5970,Nechako,114,0.0%
2410,Gaspésie-Îles-de-la-Madeleine,324,0.0%
4860,Edmonton,314,0.0%
3590,Northeast / Nord-est,487,0.0%
4730,Saskatoon-Biggar,526,0.0%
3595,Northwest / Nord-ouest,325,0.0%
3590,Northeast / Nord-est,312,0.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,313,0.0%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,331,0.0%
3550,Hamilton-Niagara Peninsula,526,0.0%
3530,Toronto,483,0.0%
3540,Kitchener-Waterloo-Barrie,324,0.0%
4650,Winnipeg,486,0.0%
3590,Northeast / Nord-est,335,0.0%
5980,Northeast / Nord-est,312,0.0%
3590,Northeast / Nord-est,324,0.0%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,213,0.0%
2460,Outaouais,334,0.0%
3580,Stratford-Bruce Peninsula,334,0.0%
1340,Fredericton-Oromocto,314,0.0%
3530,Toronto,112,0.0%
5950,Cariboo,314,0.0%
5950,Cariboo,493,0.0%
4730,Saskatoon-Biggar,331,0.0%
6010,Yukon,325,0.0%
6010,Yukon,113,0.0%
6010,Yukon,493,0.0%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,326,0.0%
3590,Northeast / Nord-est,114,0.0%
2415,Bas-Saint-Laurent,335,0.0%
1250,Halifax,113,0.0%
3530,Toronto,313,0.0%
2460,Outaouais,312,0.0%
1230,Annapolis Valley,526,0.0%
1230,Annapolis Valley,221,0.0%
4640,North Central / Centre nord,212,0.0%
4640,North Central / Centre nord,491,0.0%
4640,North Central / Centre nord,221,0.0%
4880,Wood Buffalo-Cold Lake,323,0.0%
4880,Wood Buffalo-Cold Lake,493,0.0%
5940,Kootenay,114,0.0%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,487,0.0%
3550,Hamilton-Niagara Peninsula,212,0.0%
4620,South Central / Centre sud,213,0.0%
1330,Saint John-St. Stephen,491,0.0%
4850,Red Deer,335,0.0%
4870,Athabasca-Grande Prairie-Peace River,336,0.0%
1240,Southern / Sud,481,0.0%
1240,Southern / Sud,212,0.0%
2415,Bas-Saint-Laurent,313,0.0%
3570,Windsor-Sarnia,315,0.0%
2450,Lanaudière,314,0.0%
3550,Hamilton-Niagara Peninsula,316,0.0%
5970,Nechako,316,0.0%
5970,Nechako,314,0.0%
2425,Chaudière-Appalaches,493,0.0%
3515,Kingston-Pembroke,313,0.0%
5960,North Coast / Côte-nord,336,0.0%
5960,North Coast / Côte-nord,212,0.0%
2450,Lanaudière,313,0.0%
3510,Ottawa,324,0.0%
4610,Southeast / Sud-est,331,0.0%
5950,Cariboo,334,0.0%
5950,Cariboo,323,0.0%
2440,Montréal,113,0.0%
1340,Fredericton-Oromocto,325,0.0%
4730,Saskatoon-Biggar,315,0.0%
2410,Gaspésie-Îles-de-la-Madeleine,335,0.0%
1210,Cape Breton,487,0.0%
2475,Saguenay-Lac-Saint-Jean,213,0.0%
4760,Northern / Nord,112,0.0%
4760,Northern / Nord,523,0.0%
3595,Northwest / Nord-ouest,312,0.0%
2420,Capitale-Nationale,221,0.0%
3590,Northeast / Nord-est,314,0.0%
2450,Lanaudière,487,0.0%
1320,Moncton-Richibucto,331,0.0%
1320,Moncton-Richibucto,335,0.0%
5940,Kootenay,334,0.0%
2460,Outaouais,482,0.0%
3550,Hamilton-Niagara Peninsula,113,0.0%
1250,Halifax,115,0.0%
4680,North / Nord,333,0.0%
4680,North / Nord,492,0.0%
2435,Montérégie,113,0.0%
